id_ibge,location,year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_jobs_est,cnae_display,bra_rca,wld_rca
3106200,"Belo Horizonte",2014,332946.65,168,168,18,1981.83,38.345,-0.274,-0.178,-0.429,-0.13,"4mg030000","c13596",0.145,0.829,-0.08,"c","c13","c13596",340,43.918,10,"13596",false,false
3106200,"Belo Horizonte",2014,248799.84,243,243,47,1023.87,39.79,-0.16,-0.04,-0.525,-0.045,"4mg030000","c14118",0.084,0.811,-0.115,"c","c14","c14118",319,14.4,6,"14118",false,false
3106200,"Belo Horizonte",2014,6325947.47,4607,4610,565,1372.22,40.844,0.473,0.002,-0.198,-0.02,"4mg030000","c14126",0.317,0.822,-0.135,"c","c14","c14126",464,18.267,9,"14126",false,false
3106200,"Belo Horizonte",2014,674538.6,588,588,79,1147.17,40.085,1.062,0.004,0.12,-0.019,"4mg030000","c14134",0.696,0.802,-0.12,"c","c14","c14134",263,18.266,8,"14134",false,false
3106200,"Belo Horizonte",2014,609841.18,421,421,27,1448.55,36.202,1.175,-0.007,0.032,-0.036,"4mg030000","c14142",0.857,0.807,-0.102,"c","c14","c14142",270,33.084,16,"14142",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c14215",,0.82,0.051,"c","c14","c14215",186,19.638,0,"14215",false,false
3106200,"Belo Horizonte",2014,2751.26,2,2,1,1375.63,40,-0.666,-0.37,-0.846,-0.34,"4mg030000","c14223",0.003,0.817,-0.18,"c","c14","c14223",201,23.969,2,"14223",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c15106",,0.808,-0.166,"c","c15","c15106",265,25.935,0,"15106",false,false
3106200,"Belo Horizonte",2014,281658.14,271,272,35,1035.51,39.357,-0.175,-0.02,-0.378,-0.038,"4mg030000","c15211",0.498,0.81,-0.077,"c","c15","c15211",229,32.471,8,"15211",false,false
3106200,"Belo Horizonte",2014,179863.97,169,169,27,1064.28,37.467,-0.333,0.017,-0.593,0.004,"4mg030000","c15297",0.397,0.815,-0.126,"c","c15","c15297",227,38.299,7,"15297",false,false
3106200,"Belo Horizonte",2014,951274.83,803,803,61,1184.65,41.939,0.52,0.018,-0.157,-0.004,"4mg030000","c15319",0.148,0.83,-0.205,"c","c15","c15319",318,13.147,14,"15319",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c15327",,0.848,-0.159,"c","c15","c15327",144,15.172,0,"15327",false,false
3106200,"Belo Horizonte",2014,16617.83,17,17,4,977.52,40.294,0.098,-0.011,-0.261,-0.032,"4mg030000","c15335",0.007,0.832,-0.161,"c","c15","c15335",244,11.423,5,"15335",false,false
3106200,"Belo Horizonte",2014,136858.46,120,120,18,1140.49,39.767,0.326,0.017,-0.273,-0.014,"4mg030000","c15394",0.107,0.816,-0.135,"c","c15","c15394",224,17.692,7,"15394",false,false
3106200,"Belo Horizonte",2014,72621.27,56,56,5,1296.81,31.679,0.129,0.002,-0.364,-0.026,"4mg030000","c15408",0.086,0.832,-0.153,"c","c15","c15408",233,26.76,12,"15408",false,false
3106200,"Belo Horizonte",2014,5728.35,3,3,1,1909.45,37,0.384,-0.032,-0.25,-0.056,"4mg030000","c16102",0.002,0.825,-0.243,"c","c16","c16102",357,26.855,3,"16102",false,false
3106200,"Belo Horizonte",2014,59767.91,9,9,2,6640.88,42.333,-0.117,-0.027,-0.64,-0.097,"4mg030000","c16218",0.024,0.828,-0.176,"c","c16","c16218",300,31.539,5,"16218",false,false
3106200,"Belo Horizonte",2014,406406,302,302,26,1345.72,36.96,0.694,-0.006,-0.05,-0.025,"4mg030000","c16226",0.276,0.816,-0.158,"c","c16","c16226",323,31.283,12,"16226",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c16234",,0.838,-0.084,"c","c16","c16234",242,32.084,0,"16234",false,false
3106200,"Belo Horizonte",2014,95406.23,91,91,20,1048.42,30.626,0.324,-0.006,-0.117,-0.019,"4mg030000","c16293",0.089,0.822,-0.134,"c","c16","c16293",329,37.954,5,"16293",false,false
3106200,"Belo Horizonte",2014,242430.61,30,30,2,8081.02,37.633,0.368,0.025,1,0.12,"4mg030000","c17109",0.09,0.813,0.024,"c","c17","c17109",244,62.134,15,"17109",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c17214",,0.837,-0.041,"c","c17","c17214",301,41.379,0,"17214",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c17222",,0.838,-0.103,"c","c17","c17222",159,30.728,0,"17222",false,false
3106200,"Belo Horizonte",2014,729857.39,257,257,17,2839.91,35.004,0.461,0.193,-0.46,0.033,"4mg030000","c17311",0.432,0.821,-0.079,"c","c17","c17311",299,36.708,16,"17311",false,false
3106200,"Belo Horizonte",2014,105912.16,71,71,7,1491.72,36.718,0.587,-0.009,-0.101,-0.033,"4mg030000","c17320",0.127,0.842,0.012,"c","c17","c17320",203,25.552,11,"17320",false,false
3106200,"Belo Horizonte",2014,25289.95,17,17,3,1487.64,33.647,0.276,-0.026,-0.105,0.04,"4mg030000","c17338",0.011,0.831,-0.016,"c","c17","c17338",308,36.213,6,"17338",false,false
3106200,"Belo Horizonte",2014,695087.61,404,405,34,1716.27,36.486,1.511,0.001,0.299,-0.025,"4mg030000","c17419",0.511,0.819,-0.066,"c","c17","c17419",295,42.216,12,"17419",false,false
3106200,"Belo Horizonte",2014,11727.08,12,12,2,977.26,31.583,6.09,-0.138,0.2,-0.162,"4mg030000","c17427",0.006,0.818,-0.043,"c","c17","c17427",257,36.806,6,"17427",false,false
3106200,"Belo Horizonte",2014,11109.18,10,10,2,1110.92,38,-0.647,-0.187,-0.773,-0.12,"4mg030000","c17494",0.013,0.828,-0.019,"c","c17","c17494",253,47.316,5,"17494",false,false
3106200,"Belo Horizonte",2014,1719562.37,926,926,41,1856.98,36.352,0.985,0.028,0.554,0.017,"4mg030000","c18113",0.928,0.786,-0.054,"c","c18","c18113",281,26.97,23,"18113",false,false
3106200,"Belo Horizonte",2014,16431.88,13,13,1,1263.99,22.769,-0.778,0.049,-0.803,0,"4mg030000","c18121",0.016,0.791,-0.012,"c","c18","c18121",184,29.265,13,"18121",false,false
3106200,"Belo Horizonte",2014,1414507.8,974,974,139,1452.27,33.924,-0.059,-0.058,-0.28,-0.053,"4mg030000","c18130",0.476,0.805,-0.129,"c","c18","c18130",391,36.712,8,"18130",false,false
3106200,"Belo Horizonte",2014,1034080.55,626,626,100,1651.89,35.217,0.608,-0.002,-0.034,-0.025,"4mg030000","c18211",0.752,0.798,-0.044,"c","c18","c18211",291,36.71,7,"18211",false,false
3106200,"Belo Horizonte",2014,372415.9,289,289,50,1288.64,33.412,-0.426,-0.004,-0.621,-0.016,"4mg030000","c18229",0.88,0.798,-0.074,"c","c18","c18229",227,35.036,6,"18229",false,false
